City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Mazagao,BR,89.65,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
8,Impfondo,CG,78.58,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
14,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
19,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
20,Beausoleil,FR,85.23,few clouds,43.749,7.417,Le Méridien Beach Plaza
24,Victoria,HK,79.97,overcast clouds,22.2855,114.1577,Mini Central
26,Belmonte,BR,77.94,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
28,Atuona,PF,77.27,scattered clouds,-9.8,-139.0333,Villa Enata
29,Nishihara,JP,78.85,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
30,Chardara,KZ,85.75,broken clouds,41.2547,67.9692,Жанаргул
31,Vanimo,PG,76.75,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
37,Sibolga,ID,75.78,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
39,Butaritari,KI,82.02,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
40,Albany,US,78.93,scattered clouds,42.6001,-73.9662,0
45,Lompoc,US,79.93,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
47,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
57,Bengkulu,ID,75.88,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
58,Auki,SB,76.77,scattered clouds,-8.7676,160.7034,Auki Motel
61,Lorengau,PG,80.35,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
64,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
65,Waingapu,ID,76.51,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
66,Bonthe,SL,81.88,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
68,Santa Cruz Cabralia,BR,77.23,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
74,Tautira,PF,78.55,light rain,-17.7333,-149.15,Pension Oaoa
75,Kaniama,CD,76.1,broken clouds,-7.5667,24.1833,0
76,Sungairaya,ID,79.16,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
77,Wanning,CN,80.4,overcast clouds,18.8003,110.3967,Paradise Hotel
87,Kavieng,PG,81.23,light rain,-2.5744,150.7967,Nusa Island Retreat
88,Wanlaweyn,SO,77.58,broken clouds,2.6185,44.8938,GAASHAAN HOME
90,Lasa,IT,81.48,clear sky,46.6166,10.7002,Pension Feldgärtenhof
93,Clovis,US,80.83,clear sky,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
94,Sao Filipe,CV,76.84,overcast clouds,14.8961,-24.4956,Hotel Xaguate
95,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
99,Peniche,PT,82.08,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
100,Santa Rosa,PH,81.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
105,Faanui,PF,79.72,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Coruripe,BR,80.11,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
108,Faya,SA,84.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
109,Basa,ES,88.93,overcast clouds,37.4117,-2.7641,Cortijo Medina y Carrillo
112,Koroni,GR,79.07,broken clouds,36.8,21.95,Apartments Xenios Zeus 1
115,Bubaque,GW,78.08,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
116,Hirara,JP,81.37,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
124,Sandakan,MY,78.48,few clouds,5.8402,118.1179,Hotel Sandakan
126,Jamestown,US,79.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
133,Hilo,US,75.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
141,Sattahip,TH,86.99,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
