City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,82,5.99,broken clouds
1,East London,ZA,-33.0153,27.9116,61.74,82,0,8.05,clear sky
2,Mazagao,BR,-0.115,-51.2894,89.65,70,46,4.59,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,73.08,70,26,9.51,scattered clouds
4,Ushuaia,AR,-54.8,-68.3,40.62,81,0,4.61,clear sky
5,Provideniya,RU,64.3833,-173.3,35.4,96,99,5.57,light rain
6,Qaanaaq,GL,77.484,-69.3632,30.43,66,48,1.32,scattered clouds
7,Naze,JP,28.3667,129.4833,74.32,87,100,13.42,overcast clouds
8,Impfondo,CG,1.6381,18.0667,78.58,73,100,2.44,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,6.91,clear sky
10,Sitka,US,57.0531,-135.33,51.69,76,100,0.0,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,54.27,88,75,4.61,light rain
12,Nikolskoye,RU,59.7035,30.7861,58.91,92,100,10.25,overcast clouds
13,Namibe,AO,-15.1961,12.1522,68.5,63,4,13.06,clear sky
14,Vila Velha,BR,-20.3297,-40.2925,75.15,76,75,18.41,broken clouds
15,Bluff,NZ,-46.6,168.3333,43.81,74,94,36.82,light rain
16,Saint-Pierre,RE,-21.3393,55.4781,73.9,60,0,4.61,clear sky
17,Rocha,UY,-34.4833,-54.3333,63.43,62,65,9.01,broken clouds
18,Tiksi,RU,71.6872,128.8694,45.68,69,96,6.24,overcast clouds
19,Koungou,YT,-12.7336,45.2042,76.71,83,0,6.91,clear sky
20,Beausoleil,FR,43.749,7.417,85.23,71,20,5.75,few clouds
21,Mataura,NZ,-46.1927,168.8643,43.48,92,100,13.42,light rain
22,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,64,85,2.04,overcast clouds
23,Pekalongan,ID,-6.8886,109.6753,74.01,85,72,4.92,broken clouds
24,Victoria,HK,22.2855,114.1577,79.97,90,100,1.01,overcast clouds
25,Imbituba,BR,-28.24,-48.6703,65.08,85,17,8.01,few clouds
26,Belmonte,BR,-15.8631,-38.8828,77.94,61,69,13.78,broken clouds
27,North Bend,US,43.4065,-124.2243,54.07,90,100,5.75,overcast clouds
28,Atuona,PF,-9.8,-139.0333,77.27,73,39,19.8,scattered clouds
29,Nishihara,JP,26.1842,127.7558,78.85,97,75,21.85,light intensity shower rain
30,Chardara,KZ,41.2547,67.9692,85.75,28,82,6.51,broken clouds
31,Vanimo,PG,-2.6741,141.3028,76.75,90,48,6.51,scattered clouds
32,Yellowknife,CA,62.456,-114.3525,70.32,43,75,6.91,broken clouds
33,Caravelas,BR,-17.7125,-39.2481,74.88,68,29,10.67,scattered clouds
34,Kodiak,US,57.79,-152.4072,49.51,87,100,0.0,light rain
35,Kalach-Na-Donu,RU,48.691,43.5264,72.32,36,64,8.14,broken clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,60.1,64,0,13.8,clear sky
37,Sibolga,ID,1.7427,98.7792,75.78,96,100,3.36,overcast clouds
38,Severo-Kurilsk,RU,50.6789,156.125,44.85,92,100,7.34,overcast clouds
39,Butaritari,KI,3.0707,172.7902,82.02,72,95,13.06,overcast clouds
40,Albany,US,42.6001,-73.9662,78.93,48,29,7.16,scattered clouds
41,Ust-Ordynskiy,RU,52.805,104.7508,61.57,75,89,0.67,overcast clouds
42,Chalus,IR,36.655,51.4204,74.66,83,0,0.0,clear sky
43,Mandalgovi,MN,45.7625,106.2708,66.52,43,100,5.66,overcast clouds
44,Hamilton,US,39.1834,-84.5333,92.75,72,0,11.5,clear sky
45,Lompoc,US,34.6391,-120.4579,79.93,51,0,17.27,clear sky
46,Hermanus,ZA,-34.4187,19.2345,51.8,66,97,17.56,light rain
47,Puerto Escondido,MX,15.85,-97.0667,85.03,61,40,6.91,scattered clouds
48,Shingu,JP,33.7333,135.9833,65.75,95,100,15.88,light rain
49,Vaini,TO,-21.2,-175.2,69.96,100,20,3.44,few clouds
50,Barrow,US,71.2906,-156.7887,33.82,86,75,11.5,broken clouds
51,Kapaa,US,22.0752,-159.319,73.72,87,100,17.27,overcast clouds
52,Airai,TL,-8.9266,125.4092,58.62,96,98,3.2,overcast clouds
53,Beloha,MG,-25.1667,45.05,67.28,73,2,8.03,clear sky
54,Dikson,RU,73.5069,80.5464,32.63,87,43,9.17,scattered clouds
55,Chokurdakh,RU,70.6333,147.9167,59.94,40,41,9.19,scattered clouds
56,Rabupura,IN,28.25,77.6,97.5,29,93,15.23,overcast clouds
57,Bengkulu,ID,-3.8004,102.2655,75.88,89,78,4.05,broken clouds
58,Auki,SB,-8.7676,160.7034,76.77,87,45,4.74,scattered clouds
59,Upernavik,GL,72.7868,-56.1549,30.45,81,66,0.49,broken clouds
60,Gladstone,AU,-23.85,151.25,63.79,77,100,5.75,overcast clouds
61,Lorengau,PG,-2.0226,147.2712,80.35,80,65,9.37,broken clouds
62,Marrakesh,MA,31.6315,-8.0083,96.87,30,75,8.05,broken clouds
63,Tasiilaq,GL,65.6145,-37.6368,39.36,84,79,18.77,broken clouds
64,Georgetown,MY,5.4112,100.3354,82.89,91,20,5.99,few clouds
65,Waingapu,ID,-9.6567,120.2641,76.51,86,89,9.91,overcast clouds
66,Bonthe,SL,7.5264,-12.505,81.88,66,99,8.79,overcast clouds
67,Ponta Do Sol,PT,32.6667,-17.1,72.23,64,11,7.72,few clouds
68,Santa Cruz Cabralia,BR,-16.2781,-39.0247,77.23,65,75,10.36,broken clouds
69,Ribeira Grande,PT,38.5167,-28.7,68.4,77,20,12.66,few clouds
70,Port Hardy,CA,50.6996,-127.4199,51.98,82,100,5.75,overcast clouds
